,index,entities,labels,size
0,2407,McKinsey Global Institute,ORG,87
1,66,1,CARDINAL,76
2,3573,first,ORDINAL,67
3,1205,CRISPR,ORG,66
4,3124,The Bio Revolution:,EVENT,60
5,309,2019,DATE,58
6,263,2,CARDINAL,54
7,3929,today,DATE,51
8,1379,DTC,ORG,48
9,433,3,CARDINAL,48
10,576,4,CARDINAL,42
11,3677,one,CARDINAL,42
12,688,5,CARDINAL,41
13,720,6,CARDINAL,41
14,3889,the next ten to 20 years,DATE,41
15,306,2018,DATE,40
16,302,2017,DATE,39
17,3849,the United States,GPE,38
18,1291,China,GPE,36
19,809,9,CARDINAL,35
20,311,2020,DATE,35
21,85,10,CARDINAL,33
22,2403,McKinsey & Company,ORG,31
23,3731,second,ORDINAL,27
24,2279,MGI,ORG,27
25,760,7,CARDINAL,26
26,3578,four,CARDINAL,25
27,3419,annual,DATE,24
28,271,20,CARDINAL,24
29,784,8,CARDINAL,23
30,221,19,CARDINAL,23
31,296,2013,DATE,23
32,2827,RNA,ORG,22
33,2718,One,CARDINAL,22
34,3938,two,CARDINAL,21
35,3125,The Bio Revolution:,WORK_OF_ART,21
36,2935,Science,WORK_OF_ART,21
37,300,2016,DATE,20
38,197,17,CARDINAL,19
39,324,2050,DATE,19
40,124,12,CARDINAL,18
41,2409,"McKinsey Global Institute


",ORG,18
42,3984,,NORP,17
43,1682,GHG,ORG,17
44,1646,First,ORDINAL,17
45,3966,years,DATE,16
46,139,13,CARDINAL,16
47,1594,FDA,ORG,16
48,2829,RNA,PRODUCT,16
49,2401,McKinsey,ORG,16
50,149,14,CARDINAL,15
51,997,April 2019,DATE,15
52,1105,Bio,PERSON,15
53,3922,three,CARDINAL,15
54,3189,Today,DATE,14
55,2126,June 2019,DATE,14
56,1683,GM,ORG,14
57,1431,December 2018,DATE,14
58,3229,US,GPE,14
59,111,11,CARDINAL,13
60,1121,Biomachine,PERSON,13
61,330,21,CARDINAL,13
62,164,15,CARDINAL,13
63,1488,EU,ORG,13
64,2420,Medicine,ORG,12
65,96,100%,PERCENT,12
66,835,AI,ORG,12
67,1292,Chinese,NORP,11
68,582,40,CARDINAL,11
69,374,25,CARDINAL,11
70,3282,Washington,GPE,11
71,3147,The National Academies Press,ORG,10
72,2698,October 2018,DATE,10
73,1630,February 2019,DATE,10
74,2341,Mars,LOC,10
75,1042,August 2019,DATE,10
76,182,16,CARDINAL,10
77,3387,about 400,CARDINAL,10
78,539,37,CARDINAL,9
79,88,100,CARDINAL,9
80,730,60,CARDINAL,9
81,2092,July 2018,DATE,9
82,3918,third,ORDINAL,9
83,3475,biomachine,PERSON,9
84,1041,August 2018,DATE,9
85,3781,the Bio Revolution,EVENT,9
86,280,2000,DATE,9
87,362,24,CARDINAL,9
88,2653,November 2018,DATE,9
89,2914,San Francisco,GPE,9
90,1690,GWAS,ORG,9
91,512,35,CARDINAL,9
92,473,32,CARDINAL,9
93,1590,FAO,ORG,9
94,2654,November 2019,DATE,9
95,293,2011,DATE,8
96,967,Annual,DATE,8
97,2790,Philippines,GPE,8
98,2601,Neuroprosthetics,ORG,8
99,297,2014,DATE,8
