,index,entities,labels,size
0,392,2050,DATE,226
1,3491,today,DATE,136
2,320,2,CARDINAL,88
3,86,1,CARDINAL,84
4,1630,India,GPE,81
5,2080,McKinsey Global Institute,ORG,77
6,379,2030,DATE,77
7,3042,annual,DATE,77
8,448,3,CARDINAL,71
9,371,2018,DATE,67
10,378,2030,CARDINAL,62
11,3523,zero,CARDINAL,55
12,2399,RCP,ORG,51
13,373,2019,DATE,50
14,518,4,CARDINAL,47
15,1259,Earth,LOC,47
16,370,2017,DATE,46
17,131,10,CARDINAL,41
18,489,35,CARDINAL,41
19,478,34,CARDINAL,40
20,609,6,CARDINAL,39
21,566,5,CARDINAL,37
22,2913,Woods Hole Research Center,ORG,37
23,1387,Florida,GPE,36
24,844,Annual,DATE,34
25,3164,five,CARDINAL,34
26,369,2016,DATE,32
27,3094,between 1998 and 2017,DATE,32
28,3299,six,CARDINAL,31
29,686,8,CARDINAL,31
30,3102,between 2021 and 2040,DATE,30
31,1024,CMIP,ORG,30
32,722,9,CARDINAL,29
33,647,7,CARDINAL,29
34,367,2014,DATE,28
35,3515,working hours,TIME,28
36,693,8.5,CARDINAL,27
37,140,100,CARDINAL,26
38,156,105,CARDINAL,26
39,338,20,CARDINAL,26
40,1088,China,GPE,25
41,360,2010,DATE,25
42,3132,daily,DATE,25
43,3497,two,CARDINAL,25
44,180,12,CARDINAL,24
45,198,13,CARDINAL,23
46,368,2015,DATE,23
47,1319,Europe,LOC,21
48,2095,Mediterranean,LOC,21
49,3484,three,CARDINAL,20
50,1958,MGI,ORG,20
51,134,10 percent,PERCENT,19
52,3455,the next decade,DATE,19
53,781,Africa,LOC,18
54,162,11,CARDINAL,18
55,2874,WHRC,PERSON,17
56,366,2013,DATE,17
57,1463,Germany,GPE,17
58,458,30,CARDINAL,17
59,3243,one,CARDINAL,16
60,388,2041,CARDINAL,16
61,1046,Canada,GPE,16
62,2975,a given year,DATE,16
63,698,80,CARDINAL,16
64,2928,World Resources Institute Water Risk Atlas,ORG,16
65,2927,World Resources Institute Aqueduct Global Flood Analyzer,ORG,16
66,3440,the decade,DATE,16
67,2472,Rubel,PERSON,15
68,364,2012,DATE,15
69,2070,McKinsey,ORG,15
70,3163,first,ORDINAL,14
71,90,1 percent,PERCENT,14
72,3171,greater than 10 percent,PERCENT,14
73,411,22,CARDINAL,14
74,724,90,CARDINAL,14
75,1902,Kottek,PERSON,14
76,2774,Today,DATE,14
77,1403,France,GPE,13
78,266,18,CARDINAL,13
79,3487,three-day,DATE,13
80,1321,European,NORP,13
81,2477,Russia,GPE,13
82,115,1.5,CARDINAL,13
83,3150,eds.,GPE,13
84,616,60,CARDINAL,13
85,3389,the National Academy of Sciences,ORG,13
86,2209,New York,GPE,13
87,229,15,CARDINAL,13
88,213,14,CARDINAL,12
89,987,Brazil,GPE,12
90,3165,four,CARDINAL,12
91,696,8.5,PRODUCT,12
92,420,24,CARDINAL,12
93,1317,Ethiopia,GPE,12
94,433,26,CARDINAL,12
95,3238,nine,CARDINAL,11
96,508,38,CARDINAL,11
97,537,41,CARDINAL,11
98,2297,One,CARDINAL,11
99,994,Bristol,GPE,11
100,531,40,CARDINAL,11
101,172,115,CARDINAL,11
102,2317,Pakistan,GPE,11
103,315,1998–2017,CARDINAL,11
104,166,110,CARDINAL,10
105,1701,January 2018,DATE,10
106,2171,NY,GPE,10
107,2064,May 2018,DATE,10
108,2081,"McKinsey Global Institute


",ORG,10
109,1297,Environmental Research Letters,ORG,10
110,3460,the next three decades,DATE,10
111,475,33,CARDINAL,9
112,1573,Ho Chi Minh City,GPE,9
113,496,35C,CARDINAL,9
114,2922,World Bank,ORG,9
115,2110,Mexico,GPE,9
116,149,100‑year,CARDINAL,9
117,2200,Nature Climate Change,WORK_OF_ART,9
118,244,16,CARDINAL,9
119,2967,a decade,DATE,9
120,387,2040,DATE,9
121,259,17,CARDINAL,9
122,912,August 2018,DATE,9
123,1820,June 2017,DATE,9
124,437,28,CARDINAL,9
125,99,1.0,CARDINAL,8
126,3044,annually,DATE,8
127,544,42,CARDINAL,8
128,3423,the United States,GPE,8
129,2325,Paris,GPE,8
130,422,25,CARDINAL,8
131,405,21,CARDINAL,8
132,3252,outdoor working hours,TIME,8
133,578,50,CARDINAL,8
134,915,Australia,GPE,8
135,890,Asia,LOC,8
136,550,44,CARDINAL,8
137,1784,Journal of Climate,ORG,8
138,170,113,CARDINAL,7
139,572,5.0,CARDINAL,7
140,2721,The Physical Science Basis,WORK_OF_ART,7
141,3119,biome,ORG,7
142,2153,Mozambique,GPE,7
143,1800,July,DATE,7
144,2802,UK,GPE,7
145,2400,RCP 4.5,LAW,7
146,2616,Springer,PERSON,7
147,2308,PDSI,ORG,7
148,1916,Köppen,GPE,7
149,911,August 2017,DATE,7
150,353,2005,DATE,7
151,3433,the World Resources Institute,ORG,7
152,726,90 percent,PERCENT,7
153,2356,Philippines,GPE,7
154,2558,September 2018,DATE,7
155,1634,Indonesia,GPE,7
156,873,Arctic,LOC,7
157,865,April 2019,DATE,7
158,1336,FAO,ORG,7
159,3205,million,CARDINAL,7
160,555,46,CARDINAL,7
161,416,23,CARDINAL,7
162,288,19,CARDINAL,7
163,2670,Switzerland,GPE,7
164,3311,summer,DATE,7
165,782,African,NORP,6
166,357,2009,DATE,6
167,2814,US,GPE,6
168,234,150,CARDINAL,6
169,1530,Hadi Dowlatabadi,PERSON,6
170,1632,Indian,NORP,6
171,325,2 percent,PERCENT,6
172,1810,July 2019,DATE,6
173,1702,January 2019,DATE,6
174,216,140,CARDINAL,6
175,584,51,CARDINAL,6
176,345,200,CARDINAL,6
177,3072,at least one,CARDINAL,6
178,2612,Spain,GPE,6
179,306,1980,DATE,6
180,3112,between today and 2050,DATE,6
181,2253,November 2011,DATE,6
182,507,376,CARDINAL,6
183,2470,Rowan Sutton,PERSON,6
184,425,25 percent,PERCENT,6
185,547,43,CARDINAL,6
186,1274,Egypt,GPE,6
187,3295,second,ORDINAL,6
188,436,27,CARDINAL,6
189,3439,the coming decades,DATE,6
190,3332,the American Meteorological Society,ORG,6
191,513,3x,CARDINAL,6
192,864,April 2018,DATE,6
193,1142,Congo,GPE,6
194,445,2x,CARDINAL,6
195,1211,December 2017,DATE,6
196,635,65,CARDINAL,6
197,877,Argentina,GPE,6
198,3394,the Northern Hemisphere,LOC,6
199,1373,First Street Foundation,ORG,6
200,655,70,CARDINAL,6
201,517,3–7,CARDINAL,6
202,806,American,NORP,6
203,158,107,CARDINAL,6
204,25,$35 billion,MONEY,6
205,407,2100,DATE,6
206,168,111,CARDINAL,6
207,2804,UN,ORG,6
208,1019,CATDAT,ORG,5
209,1137,Colombia,GPE,5
210,3519,year,DATE,5
211,1993,March 2018,DATE,5
212,460,30 percent,PERCENT,5
213,1994,March 2019,DATE,5
214,1851,KatRisk,ORG,5
215,1812,June,DATE,5
216,2286,October 2017,DATE,5
217,1026,CO2,ORG,5
218,1043,Cambridge University Press,ORG,5
219,1087,Chile,GPE,5
220,2598,South Asia,LOC,5
221,2747,Thomas F. Stocker et al.,PERSON,5
222,1080,Chapter 2,LAW,5
223,925,Bangladesh,GPE,5
224,1037,Cambridge,GPE,5
225,908,August 2013,DATE,5
226,2591,Somalia,GPE,5
227,341,20 percent,PERCENT,5
228,2860,Vietnam,GPE,5
229,2020,Markus Kottek,PERSON,5
230,318,1–2,CARDINAL,5
231,2597,South America,LOC,5
232,905,August 2009,DATE,5
233,1656,Iran,GPE,5
234,232,15%,PERCENT,5
235,3193,less than 1 percent,PERCENT,5
236,1822,June 2019,DATE,5
