,index,entities,labels,size
0,267,5,CARDINAL,205
1,688,McKinsey Global Institute,ORG,60
2,955,four,CARDINAL,51
3,461,China,GPE,44
4,595,India,GPE,42
5,170,2030,CARDINAL,41
6,171,2030,DATE,39
7,1113,today,DATE,32
8,202,3,CARDINAL,29
9,236,4,CARDINAL,27
10,557,GSMA Intelligence,ORG,27
11,129,2,CARDINAL,23
12,665,MGI,ORG,22
13,156,2018,DATE,21
14,952,first,ORDINAL,21
15,681,McKinsey,ORG,19
16,409,Analysys Mason,ORG,18
17,60,1,CARDINAL,17
18,377,95,CARDINAL,16
19,1117,two,CARDINAL,15
20,589,IP,ORG,15
21,647,LEO,ORG,15
22,1094,the next decade,DATE,14
23,549,Frontier,ORG,13
24,999,one,CARDINAL,13
25,86,100%,PERCENT,12
26,83,100,CARDINAL,11
27,762,RFID,ORG,11
28,158,2019,DATE,10
29,940,decade,DATE,10
30,960,hundreds,CARDINAL,10
31,497,Digital,ORG,10
32,465,Cisco,ORG,10
33,9,$2 trillion,MONEY,10
34,919,annual,DATE,9
35,164,2022,DATE,9
36,884,Wi-Fi,ORG,9
37,467,Cisco Visual Networking,ORG,9
38,846,Today,DATE,8
39,920,annually,DATE,8
40,113,15,CARDINAL,8
41,1110,three,CARDINAL,8
42,75,10,CARDINAL,8
43,137,20,CARDINAL,8
44,301,6,CARDINAL,8
45,517,Ericsson,ORG,8
46,689,"McKinsey Global Institute


",ORG,8
47,892,World Bank,ORG,7
48,179,21,CARDINAL,7
49,677,May 2019,DATE,7
50,673,March 2019,DATE,7
51,857,UN,ORG,7
52,182,22,CARDINAL,7
53,1087,the decade ahead,DATE,7
54,168,2025,DATE,7
55,841,Three,CARDINAL,7
56,561,Germany,GPE,6
57,140,20 percent,PERCENT,6
58,185,24,CARDINAL,6
59,745,Pakistan,GPE,6
60,299,5G.,CARDINAL,6
61,714,NFC,ORG,6
62,741,Ovum,ORG,6
63,127,19,CARDINAL,6
64,449,Brazil,GPE,6
65,323,7,CARDINAL,6
66,192,26,CARDINAL,6
67,293,56,CARDINAL,6
68,2,$1.2 trillion,MONEY,6
69,521,Europe,LOC,6
70,1116,trillions of dollars,MONEY,6
71,953,five,CARDINAL,6
72,545,France,GPE,6
73,530,February 2018,DATE,6
74,211,30,CARDINAL,6
75,1029,second,ORDINAL,6
76,195,28,CARDINAL,6
77,242,40,CARDINAL,6
78,121,17,CARDINAL,5
79,423,April 2019,DATE,5
80,956,half,CARDINAL,5
81,107,13,CARDINAL,5
82,346,80,CARDINAL,5
83,347,80 percent,PERCENT,5
84,384,99,CARDINAL,5
85,1080,the United States,GPE,5
86,962,iDate,ORG,5
87,404,Amazon,ORG,5
88,229,38,CARDINAL,5
89,738,One,CARDINAL,5
90,73,1.5,CARDINAL,5
91,570,Healthcare,ORG,5
92,472,Connected,PRODUCT,5
93,265,4G/LTE,ORG,5
94,254,43,CARDINAL,5
95,531,February 2019,DATE,5
96,152,2016,DATE,5
97,790,Singapore,GPE,5
98,758,Poland,GPE,5
99,621,Japan,GPE,5
100,214,300,CARDINAL,4
101,243,40 percent,PERCENT,4
102,115,15 to 20 percent,PERCENT,4
103,119,16,CARDINAL,4
104,277,50,CARDINAL,4
105,122,18,CARDINAL,4
106,343,8,CARDINAL,4
107,278,50 Mbps,QUANTITY,4
108,977,millimeter,CARDINAL,4
109,142,20 to 30 percent,PERCENT,4
110,298,5G,CARDINAL,4
111,300,5–10,CARDINAL,4
112,222,33,CARDINAL,4
113,193,27,CARDINAL,4
114,96,11,CARDINAL,4
115,389,AI,ORG,4
116,453,Canada,GPE,4
117,491,December 2019,DATE,4
118,854,Turkey,GPE,4
119,679,Mbps,PRODUCT,4
120,1107,third,ORDINAL,4
121,876,Verizon,ORG,4
122,393,AWS,ORG,4
123,1135,years,DATE,4
124,712,NB-IoT,ORG,4
125,3,$1.5 trillion,MONEY,4
126,361,85,CARDINAL,4
127,106,12,CARDINAL,4
128,109,14,CARDINAL,4
129,654,LTE,ORG,3
130,742,Oxford Economics,ORG,3
131,635,June 2019,DATE,3
132,631,June 2015,DATE,3
133,614,James Manyika,PERSON,3
134,251,42,CARDINAL,3
135,772,SAE International,ORG,3
136,258,44,DATE,3
137,575,IDATE,ORG,3
138,1,$ trillion,MONEY,3
139,250,41,CARDINAL,3
140,354,82,CARDINAL,3
141,223,34,CARDINAL,3
142,230,39,CARDINAL,3
143,730,OEM,ORG,3
144,228,37,CARDINAL,3
145,800,South Korea,GPE,3
146,725,November 2018,DATE,3
147,221,32,CARDINAL,3
148,218,30–35,ORG,3
149,678,Mbps,ORG,3
150,682,McKinsey & Company,ORG,3
151,684,McKinsey Center for Future Mobility,ORG,3
152,208,3.5,CARDINAL,3
153,721,North America,LOC,3
154,200,2–5,CARDINAL,3
155,701,Michael Chui,PERSON,3
156,259,45,CARDINAL,3
157,806,Sree Ramaswamy,PERSON,3
158,261,46,CARDINAL,3
159,803,SpaceX,ORG,3
160,362,86,CARDINAL,3
161,945,eMarketer,ORG,3
162,369,9,CARDINAL,3
163,378,95,DATE,3
164,334,71,DATE,3
165,331,70 to 80 percent,PERCENT,3
166,904,a quarter,CARDINAL,3
167,903,a few years,DATE,3
168,435,Bangladesh,GPE,3
169,894,World Cellular Information Service,ORG,3
170,315,65,CARDINAL,3
171,313,63,CARDINAL,3
172,310,61,CARDINAL,3
173,307,60,CARDINAL,3
174,444,Bluetooth,ORG,3
175,446,Bolivia,GPE,3
176,886,Wi-Fi 6,ORG,3
177,879,Volkswagen,ORG,3
178,865,United Nations Population Division,ORG,3
179,294,57,CARDINAL,3
180,859,US,GPE,3
181,284,52,CARDINAL,3
182,502,Digital India,ORG,3
183,269,5 percent,PERCENT,3
184,533,February 2020,DATE,3
185,357,84,CARDINAL,3
186,264,49,CARDINAL,3
187,263,48,CARDINAL,3
188,262,47,CARDINAL,3
189,0,$ billion,MONEY,3
190,352,81,CARDINAL,3
191,47,0,CARDINAL,3
192,56,0.5,CARDINAL,3
