,index,entities,labels,size
0,1851,McKinsey Global Institute,ORG,187
1,488,2030,CARDINAL,152
2,2782,the United States,GPE,103
3,468,2014,DATE,86
4,1484,Germany,GPE,85
5,1575,India,GPE,80
6,489,2030,DATE,79
7,1225,China,GPE,75
8,109,1,CARDINAL,72
9,2297,US,GPE,71
10,1639,Japan,GPE,70
11,477,2016,DATE,65
12,412,2,CARDINAL,59
13,2851,today,DATE,58
14,578,3,CARDINAL,57
15,744,5,CARDINAL,47
16,1785,MGI,ORG,47
17,2685,seven,CARDINAL,46
18,681,4,CARDINAL,39
19,167,10,CARDINAL,37
20,1852,McKinsey Global Institute   ,ORG,33
21,472,2015,DATE,32
22,819,6,CARDINAL,31
23,2859,two,CARDINAL,31
24,1870,Mexico,GPE,30
25,2643,one,CARDINAL,28
26,203,11,CARDINAL,27
27,2554,hours,TIME,27
28,285,15,CARDINAL,26
29,1660,Jobs,PERSON,23
30,1891,Million,CARDINAL,23
31,955,9,CARDINAL,22
32,538,25,CARDINAL,22
33,483,2017,DATE,21
34,732,46,CARDINAL,20
35,442,20,CARDINAL,19
36,602,30,CARDINAL,19
37,1972,OECD,ORG,19
38,1040,American,NORP,18
39,2682,secondary,ORDINAL,18
40,865,7,CARDINAL,17
41,2549,four,CARDINAL,17
42,1393,Europe,LOC,17
43,830,60,CARDINAL,17
44,328,18,CARDINAL,17
45,2542,first,ORDINAL,16
46,241,13,CARDINAL,16
47,1717,June 2017,DATE,15
48,1917,NBER,ORG,15
49,319,17,CARDINAL,15
50,1180,Bureau of Labor Statistics,ORG,15
51,179,100,CARDINAL,15
52,532,24,CARDINAL,15
53,1454,France,GPE,14
54,911,8,CARDINAL,14
55,2204,Sweden,GPE,14
56,2435,annual,DATE,14
57,1635,January 2017,DATE,13
58,508,21,CARDINAL,13
59,309,16,CARDINAL,13
60,2690,six,CARDINAL,13
61,558,27,CARDINAL,12
62,266,14,CARDINAL,12
63,1843,McKinsey,ORG,12
64,519,23,CARDINAL,12
65,2322,United States,GPE,12
66,765,50,CARDINAL,12
67,2844,three,CARDINAL,11
68,1039,America,GPE,11
69,378,1960,DATE,11
70,511,22,CARDINAL,11
71,354,19,CARDINAL,11
72,1447,First,ORDINAL,10
73,550,26,CARDINAL,10
74,476,2016,CARDINAL,10
75,1297,David H. Autor,PERSON,9
76,399,1993,DATE,9
77,390,1980,DATE,9
78,1933,Netherlands,GPE,9
79,1104,Australia,GPE,9
80,923,80,CARDINAL,9
81,2597,millions,CARDINAL,9
82,631,34,CARDINAL,9
83,2595,million,CARDINAL,9
84,1766,LinkedIn,ORG,9
85,874,70,CARDINAL,9
86,2289,U.S.,GPE,9
87,968,90,CARDINAL,9
88,453,2000,DATE,9
89,570,29,CARDINAL,9
90,1605,Italy,GPE,9
91,1846,McKinsey & Company,ORG,9
92,1990,One,CARDINAL,8
93,2206,Switzerland,GPE,8
94,1315,December 2016,DATE,8
95,725,45,CARDINAL,8
96,1314,December 2015,DATE,8
97,637,35,CARDINAL,8
98,703,40,CARDINAL,8
99,1840,May 2017,DATE,8
100,1195,Canada,GPE,8
101,1321,Denmark,GPE,7
102,2178,Spain,GPE,7
103,1355,Education,ORG,7
104,1982,October 2016,DATE,7
105,2140,September 2015,DATE,7
106,2276,Today,DATE,7
107,800,56,CARDINAL,7
108,624,32,CARDINAL,7
109,1483,German,NORP,7
110,999,AI,ORG,7
111,986,98,CARDINAL,7
112,660,38,CARDINAL,7
113,2681,second,ORDINAL,7
114,1372,England,GPE,7
115,221,12,CARDINAL,7
116,958,9 percent,PERCENT,7
117,2158,Singapore,GPE,7
118,463,2011,DATE,6
119,464,2012,DATE,6
120,465,2013,DATE,6
121,1803,March 2016,DATE,6
122,1004,AT&T,ORG,6
123,1668,John Maynard Keynes,PERSON,6
124,2141,September 2017,DATE,6
125,1466,GGM,ORG,6
126,482,2016–303,CARDINAL,6
127,1650,Jeffrey Lin,PERSON,6
128,2505,decades,DATE,6
129,217,118,CARDINAL,6
130,1703,July 2017,DATE,6
131,2906,years,DATE,6
132,67,0.01,CARDINAL,6
133,2780,the United Kingdom,GPE,6
134,1715,June 2015,DATE,6
135,2707,tercile,PERSON,6
136,64,0,CARDINAL,6
137,845,65,CARDINAL,6
138,850,65 years of age,DATE,6
139,2282,Transition,WORK_OF_ART,6
140,918,8-9%,PERCENT,6
141,2318,United Kingdom,GPE,6
142,1837,May 2011,DATE,6
143,1791,Machinists,NORP,6
144,184,100%,PERCENT,6
145,811,58,CARDINAL,6
146,806,57,CARDINAL,5
147,864,69,CARDINAL,5
148,246,13 percent,PERCENT,5
149,1413,F    ,PRODUCT,5
150,838,62,CARDINAL,5
151,2735,the 21st century,DATE,5
152,481,2016–301,CARDINAL,5
153,2747,the Industrial Revolution,EVENT,5
154,832,60 percent,PERCENT,5
155,172,10 percent,PERCENT,5
156,2436,annually,DATE,5
157,211,112,CARDINAL,5
158,2010,Payroll,ORG,5
159,1290,David Autor,PERSON,5
160,553,26 percent,PERCENT,5
161,290,15 percent,PERCENT,5
162,1287,David,PERSON,5
163,212,113,CARDINAL,5
164,213,114,CARDINAL,5
165,1313,December 2012,DATE,5
166,376,1950,DATE,5
167,1863,Meister,PERSON,5
168,2536,et al.,GPE,5
169,710,41,CARDINAL,5
170,396,1990,DATE,5
171,86,0.4,CARDINAL,5
172,973,91,CARDINAL,5
173,931,81,CARDINAL,5
174,713,42,CARDINAL,5
175,2543,five,CARDINAL,5
176,1043,Americans,NORP,5
177,2630,number 1,CARDINAL,5
178,360,1910,DATE,5
179,2176,South Korea,GPE,5
180,1702,July 2016,DATE,5
181,667,39,CARDINAL,5
182,1716,June 2016,DATE,5
183,74,0.1,CARDINAL,5
184,2816,the next decade,DATE,5
185,140,1.0,CARDINAL,5
186,2553,half,CARDINAL,5
187,889,75,CARDINAL,5
188,979,95,CARDINAL,5
189,2270,Thousand,CARDINAL,5
190,977,94,CARDINAL,5
191,774,51,CARDINAL,5
192,604,30 percent,PERCENT,5
193,1952,Nigeria,GPE,5
194,975,93,CARDINAL,5
195,403,1996,DATE,5
196,2271,Three,CARDINAL,4
197,2292,UK,GPE,4
198,983,96,CARDINAL,4
199,2581,less than 5 percent,PERCENT,4
200,2299,US Bureau of Labor Statistics,ORG,4
201,1326,Digital,ORG,4
202,462,2010,DATE,4
203,2312,United,ORG,4
204,249,130,CARDINAL,4
205,980,95 percent,PERCENT,4
206,2768,the US Bureau of Labor Statistics,ORG,4
207,1319,DeepMind,PERSON,4
208,2118,San Francisco,GPE,4
209,2671,recent decades,DATE,4
210,2199,Susan Lund,PERSON,4
211,2598,monthly,DATE,4
212,2373,World Bank,ORG,4
213,292,15%,PERCENT,4
214,330,18 percent,PERCENT,4
215,2089,Robert C. Allen,PERSON,4
216,2708,tertiary,ORDINAL,4
217,1170,British,NORP,4
218,851,66,CARDINAL,4
219,2699,summer 2015,DATE,4
220,1292,David Dorn,PERSON,4
221,2672,recent years,DATE,4
222,279,144,CARDINAL,4
223,385,1970,DATE,4
224,1099,August 2017,DATE,4
225,394,1985,DATE,4
226,843,64,CARDINAL,4
227,2728,the 1980s,DATE,4
228,943,85,CARDINAL,4
229,263,139,CARDINAL,4
230,1059,Anna Salomons,PERSON,4
231,239,129,CARDINAL,4
232,2036,PublicAffairs,ORG,4
233,974,92,CARDINAL,4
234,627,33,CARDINAL,4
235,1622,James Bessen,PERSON,4
236,643,36,CARDINAL,4
237,1618,Jacques Bughin,PERSON,4
238,793,55,CARDINAL,4
239,739,48,CARDINAL,4
240,1874,Michael,PERSON,4
241,1976,Occupation,PERSON,4
242,1875,Michael Chui,PERSON,4
243,1882,Michael Spence,PERSON,4
244,100,0.8,CARDINAL,4
245,600,3.6,CARDINAL,4
246,2878,up to 33%,PERCENT,4
247,1965,November 2016,DATE,4
248,1536,Harvard University Press,ORG,4
249,161,1.8,CARDINAL,4
250,2803,the hours,TIME,4
251,2825,the past decade,DATE,4
252,770,50%,PERCENT,4
253,148,1.3,PERSON,4
254,146,1.2,CARDINAL,4
255,2813,the next 15 years,DATE,4
256,1495,Global Growth Model,PRODUCT,4
257,1623,James Manyika,PERSON,4
258,740,49,CARDINAL,4
259,2552,fourth,ORDINAL,4
260,2482,between 2016 and 2030,DATE,4
261,28,-0.02,CARDINAL,4
262,1672,Jonathan Woetzel,PERSON,4
263,2519,each year,DATE,4
264,1666,John Haltiwanger,PERSON,4
265,231,122,CARDINAL,4
266,1738,Kenya,GPE,4
267,2495,centuries,DATE,4
268,1371,Engels,WORK_OF_ART,4
269,1634,January 2016,DATE,4
270,1175,Brussels,GPE,3
271,117,"1,000",CARDINAL,3
272,1686,Journal of Economic History,ORG,3
273,1176,Brynjolfsson,PERSON,3
274,2205,Swiss,NORP,3
275,1801,March 2013,DATE,3
276,1125,Baumol,PERSON,3
277,2452,at least 30 percent,PERCENT,3
278,112,1 Midpoint,QUANTITY,3
279,698,4.7,CARDINAL,3
280,1118,Bach,PERSON,3
281,700,4.8 percent,PERCENT,3
282,381,1962,DATE,3
283,2215,Taylor,PERSON,3
284,1128,Ben Casnocha,PERSON,3
285,1756,Laura Tyson,PERSON,3
286,1171,Brookings Institution,ORG,3
287,908,79,CARDINAL,3
288,2821,the past 20+ years,DATE,3
289,355,19,DATE,3
290,1514,Groningen Growth and Development Centre,ORG,3
291,1733,Katy George,PERSON,3
292,1730,Karl Marx,PERSON,3
293,1921,National Academies Press,ORG,3
294,766,50,DATE,3
295,2193,Steven J. Davis,PERSON,3
296,616,31,CARDINAL,3
297,2612,more than 800,CARDINAL,3
298,1510,Greece,GPE,3
299,1558,IEA,ORG,3
300,365,1914,DATE,3
301,369,1930,DATE,3
302,2347,Vocational,ORG,3
303,1015,Acemoglu,PERSON,3
304,2838,third,ORDINAL,3
305,1613,Jaana Remes,PERSON,3
306,954,8–9%,PERCENT,3
307,1597,International Labour Organization,ORG,3
308,1611,JHU Press,ORG,3
309,2256,The US High School Movement,ORG,3
310,2257,The United States,GPE,3
311,1051,Andrew McAfee,PERSON,3
312,1847,"McKinsey & Company
",ORG,3
313,704,40,DATE,3
314,1885,Midpoint,ORG,3
315,1038,Amazon,ORG,3
316,2291,UBI,ORG,3
317,433,2.3,CARDINAL,3
318,2290,U.S. Bureau of Labor Statistics,ORG,3
319,436,2.5 percent,PERCENT,3
320,2527,eds,ORG,3
321,438,2.7,CARDINAL,3
322,2251,The Quarterly Journal of Economics,ORG,3
323,2329,University of Oxford,ORG,3
324,735,47,CARDINAL,3
325,945,86,CARDINAL,3
326,443,20,DATE,3
327,459,2007,DATE,3
328,509,21%,PERCENT,3
329,1564,IMPLAN,ORG,3
330,970,90 percent,PERCENT,3
331,1567,IPUMS,ORG,3
332,742,49 percent,PERCENT,3
333,2302,"US Department of Health, Education",ORG,3
334,939,83,CARDINAL,3
335,941,84,CARDINAL,3
336,92,0.5 percent,PERCENT,3
337,2368,William Lee,PERSON,3
338,2680,roughly half,CARDINAL,3
339,454,2001,DATE,3
340,1075,April 2017,DATE,3
341,1884,Microsoft,ORG,3
342,1166,Brazil,GPE,3
343,1428,February 1966,DATE,3
344,1431,February 2017,DATE,3
345,1394,European,NORP,3
346,210,111,CARDINAL,3
347,858,68,CARDINAL,3
348,294,15.8 million,CARDINAL,3
349,2111,Routledge,ORG,3
350,296,151,CARDINAL,3
351,297,152,CARDINAL,3
352,171,10 million,CARDINAL,3
353,1445,Finland,GPE,3
354,1243,Claudia Goldin,PERSON,3
355,2415,about half,CARDINAL,3
356,563,28,CARDINAL,3
357,1242,Claudia,PERSON,3
358,2799,the early 20th century,DATE,3
359,1335,E1,CARDINAL,3
360,594,3.3,CARDINAL,3
361,1981,October 2014,DATE,3
362,1383,Erik,PERSON,3
363,1283,Daron,PERSON,3
364,197,108,CARDINAL,3
365,2073,Richard J. Murnane,PERSON,3
366,564,28 percent,PERCENT,3
367,1992,Organisation for Economic Co,ORG,3
368,1299,David Ricardo,PERSON,3
369,1417,FRED,ORG,3
370,1996,Oxford Economics,ORG,3
371,1296,David H.,PERSON,3
372,276,142,CARDINAL,3
373,2005,Pascual Restrepo,PERSON,3
374,1419,Facebook,ORG,3
375,794,55,DATE,3
376,189,102,CARDINAL,3
377,1983,October 2017,DATE,3
378,260,138,CARDINAL,3
379,1384,Erik Brynjolfsson,PERSON,3
380,797,55 percent,PERCENT,3
381,1238,Christopher Pissarides,PERSON,3
382,769,50 to 99,CARDINAL,3
383,155,1.5 percent,PERCENT,3
384,2026,Poland,GPE,3
385,1344,EU,ORG,3
386,1500,Google,ORG,3
387,2024,Piketty,PERSON,3
388,238,128,CARDINAL,3
389,2766,the Paris Agreement,ORG,3
390,2765,"the National Commission on Technology, Automation",ORG,3
391,1504,Gordon H. Hanson,PERSON,3
392,1962,Norway,GPE,3
393,1217,Chapter 4,LAW,3
394,2149,Shanghai,GPE,3
395,877,70 percent,PERCENT,3
396,2726,the 1960s,DATE,3
397,606,30%,PERCENT,3
