,index,entities,labels,size
0,2270,OECD,ORG,234
1,684,22,CARDINAL,181
2,2159,McKinsey Global Institute,ORG,177
3,629,2018,DATE,176
4,3328,the United States,GPE,148
5,562,2000,DATE,110
6,640,2019,DATE,107
7,618,2017,DATE,105
8,1810,Germany,GPE,102
9,3263,the 21st century,DATE,96
10,2510,Spain,GPE,91
11,810,3,CARDINAL,84
12,1949,Japan,GPE,83
13,519,2,CARDINAL,81
14,1786,France,GPE,80
15,1917,Italy,GPE,78
16,3401,three,CARDINAL,68
17,191,1,CARDINAL,67
18,968,4,CARDINAL,67
19,2543,Sweden,GPE,65
20,612,2016,DATE,64
21,2648,US,GPE,63
22,1470,Australia,GPE,61
23,1565,Canada,GPE,57
24,244,10,CARDINAL,57
25,2504,South Korea,GPE,56
26,1827,Greece,GPE,53
27,2664,United Kingdom,GPE,53
28,379,15,CARDINAL,51
29,1050,5,CARDINAL,51
30,544,20,CARDINAL,50
31,2667,United States,GPE,50
32,608,2015,DATE,47
33,1911,Ireland,GPE,46
34,2257,Norway,GPE,44
35,1668,Denmark,GPE,42
36,2241,New Zealand,GPE,42
37,1775,Finland,GPE,41
38,310,12,CARDINAL,41
39,353,14,CARDINAL,41
40,2098,MGI,ORG,41
41,264,100,CARDINAL,40
42,2642,UK,GPE,40
43,1726,Europe,LOC,39
44,3326,the United Kingdom,GPE,39
45,1474,Austria,GPE,39
46,1727,European,NORP,39
47,1116,6,CARDINAL,38
48,2388,Portugal,GPE,38
49,666,21,CARDINAL,38
50,1242,8,CARDINAL,37
51,1492,Belgium,GPE,37
52,285,11,CARDINAL,36
53,409,16,CARDINAL,34
54,1292,9,CARDINAL,34
55,2227,Netherlands,GPE,33
56,2548,Switzerland,GPE,32
57,3140,one,CARDINAL,31
58,2719,World Bank,ORG,31
59,333,13,CARDINAL,31
60,1733,Eurostat,ORG,31
61,604,2014,DATE,30
62,594,2010,DATE,30
63,3417,two,CARDINAL,29
64,448,18,CARDINAL,29
65,431,17,CARDINAL,28
66,1180,7,CARDINAL,28
67,1863,Healthcare,ORG,25
68,222,1.5,CARDINAL,24
69,847,30,CARDINAL,23
70,600,2012,DATE,23
71,2874,between 2000 and 2018,DATE,22
72,471,19,CARDINAL,21
73,730,25,CARDINAL,21
74,590,2008,DATE,20
75,1393,America,GPE,20
76,573,2001,DATE,20
77,2292,OECD Stat,ORG,20
78,3234,ten,CARDINAL,19
79,1017,43,CARDINAL,19
80,2147,May 2019,DATE,18
81,780,28,CARDINAL,18
82,2799,annual,DATE,18
83,828,3.2,CARDINAL,18
84,3214,six,CARDINAL,17
85,3451,years,DATE,17
86,538,2.7,CARDINAL,17
87,576,2002,DATE,17
88,133,0.1,CARDINAL,17
