,subject,relation,object,subject_type,object_type
0,Global Institute research,combines,disciplines,NOUN_CHUNK,NOUN_CHUNK
1,Global Institute’s,covered,20 countries.and 30 industries,ORG,NOUN_CHUNK
2,Project teams,draw.on,McKinsey & Company global network,NOUN_CHUNK,NOUN_CHUNK
3,leading economists,advise,MGI.research,NOUN_CHUNK,ORG
4,pharmaceuticals medical report,describes,potential,NOUN_CHUNK,NOUN_CHUNK
5,SARS-CoV-2,causing,COVID‑19,ORG,NOUN_CHUNK
6,Anneke Maxi Pethö-Schramm,publish,major report,PERSON,NOUN_CHUNK
7,search,"Poojara,.of vaccines",implications,NOUN_CHUNK,NOUN_CHUNK
8,research,builds,on.patterns,NOUN_CHUNK,NOUN_CHUNK
9,The McKinsey Global Institute,Computer.has,active research program,ORG,NOUN_CHUNK
10,Hughes Medical Institute Investigator      ,offered,valuable insights,ORG,NOUN_CHUNK
11,New capabilities,transform,economies,NOUN_CHUNK,NOUN_CHUNK
12,Key findings,include,following,NOUN_CHUNK,NOUN_CHUNK
13,innovations,creating,five,NOUN_CHUNK,CARDINAL
14,proliferating biological data,enhancing,discovery,NOUN_CHUNK,NOUN_CHUNK
15,biological systems,restore,sensory function,NOUN_CHUNK,NOUN_CHUNK
16,Science,needs,investment,ORG,NOUN_CHUNK
17,Personalized         Meats,produced,materials                 consequences,NOUN_CHUNK,NOUN_CHUNK
18,Monogenic,Personalized,consensus,PERSON,NOUN_CHUNK
19,R&D productivity,prevented,genome,NOUN_CHUNK,NOUN_CHUNK
20,tool,uses,small piece,NOUN_CHUNK,NOUN_CHUNK
21,Cas9 enzyme,cuts,targeted DNA,NOUN_CHUNK,NOUN_CHUNK
22,Accidents,have,major consequences,NOUN_CHUNK,NOUN_CHUNK
23,definition,covers,mapping,NOUN_CHUNK,NOUN_CHUNK
24,definition,covers,engineering,NOUN_CHUNK,NOUN_CHUNK
25,interactions,cells,computation,NOUN_CHUNK,NOUN_CHUNK
26,DNA,Andy Extance,world data,NOUN_CHUNK,NOUN_CHUNK
27,Worldwide DNA sequencing,creates,huge volumes,NOUN_CHUNK,NOUN_CHUNK
28,Genome researchers,raise,alarm,NOUN_CHUNK,NOUN_CHUNK
29,New biological capabilities,bring,transformational change,NOUN_CHUNK,NOUN_CHUNK
30,New biological capabilities,include,following,NOUN_CHUNK,NOUN_CHUNK
31,Gene therapies,offer,complete cures,NOUN_CHUNK,NOUN_CHUNK
32,biological data,enhancing,discovery,NOUN_CHUNK,NOUN_CHUNK
33,biopharmaceutical industry,hit,low point,NOUN_CHUNK,NOUN_CHUNK
34,DNA,researched,data,NOUN_CHUNK,NOUN_CHUNK
35,one kilogram,store,entirety,QUANTITY,NOUN_CHUNK
36,innovations,transform,prevention,NOUN_CHUNK,NOUN_CHUNK
37,visible pipeline,deliver,profound impact,NOUN_CHUNK,NOUN_CHUNK
38,library,included,use cases,NOUN_CHUNK,NOUN_CHUNK
39,research,for.instance,publicly available data,NOUN_CHUNK,NOUN_CHUNK
40,DNA,Andy Extance,world data,NOUN_CHUNK,NOUN_CHUNK
41,value,include,knock effects,NOUN_CHUNK,NOUN_CHUNK
42,Human health,have,scientific advances,NOUN_CHUNK,NOUN_CHUNK
43,visible pipeline,create,approximately.$2 trillion to $4 trillion,NOUN_CHUNK,MONEY
44,Estimates,represent,GDP,NOUN_CHUNK,NOUN_CHUNK
