,subject,relation,object,subject_type,object_type
0,MGI research,combines,disciplines,NOUN_CHUNK,NOUN_CHUNK
1,James Manyika,employing,Sven Smit,PERSON,PERSON
2,MGI,have,MGI senior fellow,ORG,NOUN_CHUNK
3,Practice,helps,businesses,NOUN_CHUNK,NOUN_CHUNK
4,organizations,help,risk capabilities.sustainable - growth economy,NOUN_CHUNK,NOUN_CHUNK
5,McKinsey,developed,McKinsey global greenhouse gas abatement cost curve,ORG,NOUN_CHUNK
6,Quiros,provided,modeling,PERSON,NOUN_CHUNK
7,Birshan,provided,critical input,ORG,NOUN_CHUNK
8,Woods Hole Research Center,produced,scientific,ORG,NOUN_CHUNK
9,the University of Oxford’s Environmental Change Institute,ensure,impartiality,ORG,NOUN_CHUNK
10,Carlos Sanchez,SYSTEMIQ,resilient finance,PERSON,NOUN_CHUNK
11,number,contributed,number,NOUN_CHUNK,NOUN_CHUNK
12,Organizations,include,AECOM,NOUN_CHUNK,ORG
13,Multiple groups,contributed,Multiple groups,NOUN_CHUNK,NOUN_CHUNK
14,colleagues,provided,valuable input,NOUN_CHUNK,NOUN_CHUNK
15,Peter Gumbel,thank,Peter Gumbel,PERSON,PERSON
16,Climate science          humidity increase,devalue,exposed homes.makes extensive use,NOUN_CHUNK,NOUN_CHUNK
17,Poorer regions,have,climates.enables,NOUN_CHUNK,NOUN_CHUNK
18,Climate change,also.illustrate,exposure,NOUN_CHUNK,NOUN_CHUNK
19,changing climate,impact,socioeconomic systems,NOUN_CHUNK,NOUN_CHUNK
20,average daily maximum wet bulb temperature,defined,survivability threshold,NOUN_CHUNK,NOUN_CHUNK
21,numbers,do,factor,NOUN_CHUNK,NOUN_CHUNK
22,McKinsey,has,long history,ORG,NOUN_CHUNK
23,Climate impact research,makes,extensive use.of scenarios,NOUN_CHUNK,NOUN_CHUNK
24,technology,reshaping,resources,NOUN_CHUNK,NOUN_CHUNK
25,uncertainties,see,Box E2,NOUN_CHUNK,WORK_OF_ART
26,stakeholders,see,Box,NOUN_CHUNK,PRODUCT
27,Exhibit E1.We,make,use,NOUN_CHUNK,NOUN_CHUNK
28,methodology,addresses,uncertainties,NOUN_CHUNK,NOUN_CHUNK
29,Emissions,influence,global climate,NOUN_CHUNK,NOUN_CHUNK
30,8.5,predicts,global.uncertainties,CARDINAL,NOUN_CHUNK
31,risk,absent,adaptation,NOUN_CHUNK,NOUN_CHUNK
32,detailed discussion,affect,global,NOUN_CHUNK,NOUN_CHUNK
33,the past 65 million years,means,natural systems,DATE,NOUN_CHUNK
34,Climate change,bring,benefits,NOUN_CHUNK,NOUN_CHUNK
35,assets,requires,coordinated action,NOUN_CHUNK,NOUN_CHUNK
36,Climate change,having,substantial physical impacts,NOUN_CHUNK,NOUN_CHUNK
37,rapid decline,provides,evidence,NOUN_CHUNK,NOUN_CHUNK
38,average,conceals,dramatic changes,NOUN_CHUNK,NOUN_CHUNK
39,Averages,conceal,wide spatial disparities,NOUN_CHUNK,NOUN_CHUNK
40,Exhibit E2.A small shift,hide,dramatic changes,NOUN_CHUNK,NOUN_CHUNK
41,Frequency,anomalies.in,the Northern Hemisphere,NOUN_CHUNK,LOC
42,climate models,indicate,rise,NOUN_CHUNK,NOUN_CHUNK
43,frequency,intensify,chronic hazards,NOUN_CHUNK,NOUN_CHUNK
44,hurricanes,predict,increase,NOUN_CHUNK,NOUN_CHUNK
45,projections,used,absolute values,NOUN_CHUNK,NOUN_CHUNK
46,Boundaries,represent,water basins,NOUN_CHUNK,NOUN_CHUNK
47,effects,push,34 ° C wet bulb heat waves,NOUN_CHUNK,NOUN_CHUNK
48,average daily maximum wet bulb temperature,exceed,survivability threshold,NOUN_CHUNK,NOUN_CHUNK
49,Climate change,affects,human life,NOUN_CHUNK,NOUN_CHUNK
50,Climate change,having,measurable socioeconomic impact,NOUN_CHUNK,NOUN_CHUNK
51,system                Area,exacerbated,hazard,NOUN_CHUNK,NOUN_CHUNK
52,deaths,attributable,3x,NOUN_CHUNK,CARDINAL
53,services,flooding,economic loss,NOUN_CHUNK,NOUN_CHUNK
54,~70%,lost,Natural capital                                                         Potential reduction,PERCENT,NOUN_CHUNK
55,climate hazards,impact,multiple systems,NOUN_CHUNK,NOUN_CHUNK
56,Extreme precipitation,destroy,physical assets,NOUN_CHUNK,NOUN_CHUNK
57,Hazards,affect,ability,NOUN_CHUNK,NOUN_CHUNK
58,temperatures,affect,land,NOUN_CHUNK,NOUN_CHUNK
59,cases,highlight,wide range,NOUN_CHUNK,NOUN_CHUNK
60,small changes,have,large consequences,NOUN_CHUNK,NOUN_CHUNK
61,RCP 8.5 scenario,absent,effective adaptation response,NOUN_CHUNK,NOUN_CHUNK
62,Insurance records,show,clear,NOUN_CHUNK,NOUN_CHUNK
63,researchers,find,small upward trend,NOUN_CHUNK,NOUN_CHUNK
64,35 degrees Celsius wet bulb,push,34C wet bulb heat,NOUN_CHUNK,NOUN_CHUNK
65,High levels,provide,cooling effect,NOUN_CHUNK,NOUN_CHUNK
66,new analysis,excludes,grid cells,NOUN_CHUNK,NOUN_CHUNK
67,Exposed sectors,include,exclusively outdoor sectors,NOUN_CHUNK,NOUN_CHUNK
68,longer exposure,cause,rapidly worsening health impacts,NOUN_CHUNK,NOUN_CHUNK
69,Humans,survive,exposure,NOUN_CHUNK,NOUN_CHUNK
70,acute events,affect,grid,NOUN_CHUNK,NOUN_CHUNK
71,geography,makes,geography,NOUN_CHUNK,NOUN_CHUNK
72,infrastructure,experience,step change,NOUN_CHUNK,NOUN_CHUNK
73,significant mitigation,take,place,NOUN_CHUNK,NOUN_CHUNK
74,hail,claim,capital,NOUN_CHUNK,NOUN_CHUNK
75,Chi Minh City,experience,5 10 times economic impact,PERSON,NOUN_CHUNK
76,Value,includes,loss,NOUN_CHUNK,NOUN_CHUNK
77,homes,see,devaluation,NOUN_CHUNK,NOUN_CHUNK
78,Financial markets,bring,risks,NOUN_CHUNK,NOUN_CHUNK
79,rising temperatures,boost,tourism,NOUN_CHUNK,NOUN_CHUNK
80,climate events,lack,financial means,NOUN_CHUNK,NOUN_CHUNK
81,climate events,trigger,harvest failure,NOUN_CHUNK,NOUN_CHUNK
82,changing climate,affects,human physical natural capital,NOUN_CHUNK,NOUN_CHUNK
83,case studies,illustrate,localized impacts,NOUN_CHUNK,NOUN_CHUNK
84,Intensifying climate.hazards,put,millions,ORG,CARDINAL
85,exposed regions,have,lower probability,NOUN_CHUNK,NOUN_CHUNK
86,ones,exposed,higher intensity,NOUN_CHUNK,NOUN_CHUNK
87,numbers,assume,air conditioning protection,NOUN_CHUNK,NOUN_CHUNK
88,research,suggests,increase,NOUN_CHUNK,NOUN_CHUNK
89,infrastructure assets,disrupted,hurricanes,NOUN_CHUNK,NOUN_CHUNK
90,Köppen climate system,divides,climates,NOUN_CHUNK,NOUN_CHUNK
91,E11.We,identify,types,NOUN_CHUNK,NOUN_CHUNK
92,E12.We,identify,types,NOUN_CHUNK,NOUN_CHUNK
93,workability,services,capital,NOUN_CHUNK,NOUN_CHUNK
94,E13.We,identify,types,NOUN_CHUNK,NOUN_CHUNK
95,Country,heat,waves1,NOUN_CHUNK,NOUN_CHUNK
96,group,includes,the Philippines,NOUN_CHUNK,GPE
97,Countries,face,large potential increase,NOUN_CHUNK,NOUN_CHUNK
98,group,includes,Colombia,NOUN_CHUNK,GPE
99,countries,hot,livability thresholds,NOUN_CHUNK,NOUN_CHUNK
100,group,includes,Germany,NOUN_CHUNK,GPE
101,polar boreal climates,largest increase,poleward,NOUN_CHUNK,NOUN_CHUNK
102,Examples,include,Argentina,NOUN_CHUNK,GPE
103,average numbers,indicate,small risk,NOUN_CHUNK,NOUN_CHUNK
104,average numbers,increases,wide regional variations,NOUN_CHUNK,NOUN_CHUNK
105,Coast region,see,big increase,NOUN_CHUNK,NOUN_CHUNK
106,countries,experience,diversity,NOUN_CHUNK,NOUN_CHUNK
107,Financial institutions,consider,risk,NOUN_CHUNK,NOUN_CHUNK
108,report,requires,use,NOUN_CHUNK,NOUN_CHUNK
109,insurance,eliminate,risk,NOUN_CHUNK,NOUN_CHUNK
110,insurance reinsurance carriers,improve,insurance reinsurance carriers,NOUN_CHUNK,NOUN_CHUNK
111,tool kits,reflect,VAR,NOUN_CHUNK,NOUN_CHUNK
112,structured risk management                     market shifts,support,effective adaptation,NOUN_CHUNK,NOUN_CHUNK
113,changing climate,means,likelihoods,NOUN_CHUNK,NOUN_CHUNK
