,subject,relation,object,subject_type,object_type
0,research agenda,lead,high-impact.the insights,NOUN_CHUNK,NOUN_CHUNK
1,Anu Madgavkar,advise,MGI research,PERSON,NOUN_CHUNK
2,Current research,focuses,business,NOUN_CHUNK,NOUN_CHUNK
3,world,Changing,page,NOUN_CHUNK,NOUN_CHUNK
4,Questions,page,76.Acknowledgments,NOUN_CHUNK,NOUN_CHUNK
5,industry,boost,productivity,NOUN_CHUNK,NOUN_CHUNK
6,Retailers,offer,seamless,NOUN_CHUNK,NOUN_CHUNK
7,opportunities,are,inventory management,NOUN_CHUNK,NOUN_CHUNK
8,use cases,introduce,data,NOUN_CHUNK,NOUN_CHUNK
9,cycles,leading,connectivity providers,ORG,NOUN_CHUNK
10,industry players,put,upgrades,NOUN_CHUNK,NOUN_CHUNK
11,India,modernized,India,GPE,GPE
12,promise,captured,attention,NOUN_CHUNK,NOUN_CHUNK
13,value,This.implies,trillions of dollars,NOUN_CHUNK,MONEY
14,connectivity,has,ramifications,NOUN_CHUNK,NOUN_CHUNK
15,Connectivity,undergoing,evolutionary change,NOUN_CHUNK,NOUN_CHUNK
16,Existing connectivity technologies,expanding,Existing connectivity technologies,NOUN_CHUNK,NOUN_CHUNK
17,Exhibit E1.Connectivity technologies,taking,strides,NOUN_CHUNK,NOUN_CHUNK
18,providers,upgrading,existing 4 G infrastructure,NOUN_CHUNK,NOUN_CHUNK
19,low- mid - frequency 5 G networks,offer,significant,NOUN_CHUNK,NOUN_CHUNK
20,satellite constellations,represent,radical departure.2,NOUN_CHUNK,NOUN_CHUNK
21,mid - band 5G. Low earth orbit LEO satellites,deliver,breakthrough,NOUN_CHUNK,NOUN_CHUNK
22,broadband,bring,coverage,NOUN_CHUNK,NOUN_CHUNK
23,Advanced frontier connectivity,enable,new capabilities,NOUN_CHUNK,NOUN_CHUNK
24,consumers,power,internet,NOUN_CHUNK,NOUN_CHUNK
25,LEO satellites,provide,true global coverage,NOUN_CHUNK,NOUN_CHUNK
26,Connected devices,transform,healthcare,NOUN_CHUNK,NOUN_CHUNK
27,use cases,free,additional investment,NOUN_CHUNK,NOUN_CHUNK
28,Manufacturing,run,highly precise operations,NOUN_CHUNK,NOUN_CHUNK
29,growing number,incorporate,features,NOUN_CHUNK,NOUN_CHUNK
30,      GDP impact,reach,$400 billion to $650 billion,NOUN_CHUNK,MONEY
31,large representative cross - section,include,industrial consumer facing businesses,NOUN_CHUNK,NOUN_CHUNK
32,5 G,“Five ways,manufacturing,NOUN_CHUNK,NOUN_CHUNK
33,recommendations,increase,sales,NOUN_CHUNK,NOUN_CHUNK
34,use cases,boost,GDP,NOUN_CHUNK,NOUN_CHUNK
35,management,has,applicability,NOUN_CHUNK,NOUN_CHUNK
36,critical applications,has,value,NOUN_CHUNK,NOUN_CHUNK
37,value,use,cases,NOUN_CHUNK,NOUN_CHUNK
38,Advanced frontier connectivity,generate,trillions of dollars,NOUN_CHUNK,MONEY
39,cases,reach,mass adoption,NOUN_CHUNK,NOUN_CHUNK
40,E2.We,analyzed,use cases,NOUN_CHUNK,NOUN_CHUNK
41,Connectivity,unlock,value,NOUN_CHUNK,NOUN_CHUNK
42,20-30%,Identified,impact,PERCENT,NOUN_CHUNK
43,Data,complexities,Deployment constraints,NOUN_CHUNK,NOUN_CHUNK
44,use cases,require,data sharing,NOUN_CHUNK,NOUN_CHUNK
45,firms,postponed,asset,NOUN_CHUNK,NOUN_CHUNK
46,competitive dynamics,forcing,providers,NOUN_CHUNK,NOUN_CHUNK
47,China,retain,China India unique status,GPE,NOUN_CHUNK
48,China,poured,huge investment,GPE,NOUN_CHUNK
49,China,building,backbone,GPE,NOUN_CHUNK
50,form,reach,as much as 80 percent,NOUN_CHUNK,PERCENT
51,coverage rates,exceed,90 percent,NOUN_CHUNK,PERCENT
52,World,reach,only around 60 percent,ORG,PERCENT
53,affordability,limit,affordability adoption,NOUN_CHUNK,NOUN_CHUNK
54,countries,enjoy,high fiber coverage rates,NOUN_CHUNK,NOUN_CHUNK
55,Frontier connectivity,drives,required investment,NOUN_CHUNK,NOUN_CHUNK
56,efficiency benefits,justify,deployment,NOUN_CHUNK,NOUN_CHUNK
57,end,require,some $700 billion to $900 billion,NOUN_CHUNK,MONEY
58,Leaders,capture,share,NOUN_CHUNK,NOUN_CHUNK
59,Build outs,demand,major investment,NOUN_CHUNK,NOUN_CHUNK
60,research,raises,questions,NOUN_CHUNK,NOUN_CHUNK
61,offerings,gain,traction,NOUN_CHUNK,NOUN_CHUNK
62,changes,Verizon’s recent 5G Edge computing partnership.19,meaningful,NOUN_CHUNK,NOUN_CHUNK
63,applications,change,dynamic,NOUN_CHUNK,NOUN_CHUNK
64,2 billion new consumers,follow,pattern,NOUN_CHUNK,NOUN_CHUNK
65,Brian Heater,announce,5 G Edge computing partnership,PERSON,NOUN_CHUNK
66,governments.have,played,hands role,NOUN_CHUNK,NOUN_CHUNK
67,Today technology,heeds,commands,NOUN_CHUNK,NOUN_CHUNK
68,Consumers,enjoy,instant high definition video streaming,NOUN_CHUNK,NOUN_CHUNK
69,Connectivity technologies,taking,strides,NOUN_CHUNK,NOUN_CHUNK
70,users,possible,sophisticated applications,NOUN_CHUNK,NOUN_CHUNK
71,5 G networks,commanded,great deal,NOUN_CHUNK,NOUN_CHUNK
72,Existing connectivity technologies,penetrating,       domains,NOUN_CHUNK,NOUN_CHUNK
73,1.Connectivity technologies,taking,strides,NOUN_CHUNK,NOUN_CHUNK
74,providers,upgrading,existing 4 G infrastructure,NOUN_CHUNK,NOUN_CHUNK
75,generation,improve,speeds,NOUN_CHUNK,NOUN_CHUNK
76,Wi-Fi 6,make,biggest difference,ORG,NOUN_CHUNK
77,Wi-Fi 6,extends,battery,ORG,NOUN_CHUNK
78,mid - band 5 G,achieve,speeds,NOUN_CHUNK,NOUN_CHUNK
79,identification,have,applications,NOUN_CHUNK,NOUN_CHUNK
80,LPWANs,with,power,NOUN_CHUNK,NOUN_CHUNK
81,5 G networks,represent,step,NOUN_CHUNK,NOUN_CHUNK
82,generation,promise,substantial improvements,NOUN_CHUNK,NOUN_CHUNK
83,Standalone 5 G,includes,the new 5G Packet Core,NOUN_CHUNK,ORG
84,High band 5 G,offers,speeds,NOUN_CHUNK,NOUN_CHUNK
85,LEO satellites,provide,coverage,NOUN_CHUNK,NOUN_CHUNK
86,billion,connected,IoT devices,NOUN_CHUNK,NOUN_CHUNK
87,logistics networks,access,computing,NOUN_CHUNK,NOUN_CHUNK
88,stage,reflects,improvements,NOUN_CHUNK,NOUN_CHUNK
89,Advanced frontier connectivity,setting,new,NOUN_CHUNK,NOUN_CHUNK
90,Edge computing,makes,leap,NOUN_CHUNK,NOUN_CHUNK
91,while.much,playing,catch,NOUN_CHUNK,NOUN_CHUNK
92,Factory workers,use,augmented reality glasses,NOUN_CHUNK,NOUN_CHUNK
93,the IoT,deliver,precision irrigation,ORG,NOUN_CHUNK
94,sensors,monitor,public infrastructure systems,NOUN_CHUNK,NOUN_CHUNK
95,disaster management,broaden,reach,NOUN_CHUNK,NOUN_CHUNK
96,connectivity ecosystem,has,players,NOUN_CHUNK,NOUN_CHUNK
97,entry,reshaping,connectivity ecosystem,NOUN_CHUNK,NOUN_CHUNK
98,falls,Economist,another.computer revolution,NOUN_CHUNK,NOUN_CHUNK
99,Conventional providers,face,challenge,NOUN_CHUNK,NOUN_CHUNK
100,operators,overcome,technical barriers,NOUN_CHUNK,NOUN_CHUNK
101,oversupply,make,revenues,NOUN_CHUNK,NOUN_CHUNK
102,roadblocks,have,little,NOUN_CHUNK,NOUN_CHUNK
103,role.governments play,influence,connectivity markets,NOUN_CHUNK,NOUN_CHUNK
104,Future spectrum.costs,increase,capital expenditures,NOUN_CHUNK,NOUN_CHUNK
105,Reliability,implies,absence,NOUN_CHUNK,NOUN_CHUNK
106,improvements,represent,building block,NOUN_CHUNK,NOUN_CHUNK
107,consumers,power,internet,NOUN_CHUNK,NOUN_CHUNK
108,use cases,give,rise,NOUN_CHUNK,NOUN_CHUNK
109,hundreds of millions,live,huge portion,CARDINAL,NOUN_CHUNK
110,productivity growth,Some 85 percent,moves,NOUN_CHUNK,NOUN_CHUNK
111,43 Consumers,drive,larger share,NOUN_CHUNK,NOUN_CHUNK
112,internet,feeding,insatiable appetite,NOUN_CHUNK,NOUN_CHUNK
113,productivity growth,"YouTube, video consumption accounts",internet traffic,NOUN_CHUNK,NOUN_CHUNK
114,3.Consumers,generate,majority,NOUN_CHUNK,NOUN_CHUNK
115,small group,these markets,unusual share,NOUN_CHUNK,NOUN_CHUNK
116,households,generate,more than 40 percent,NOUN_CHUNK,PERCENT
117,households,use,fixed internet,NOUN_CHUNK,NOUN_CHUNK
118,sources,drive,demand,NOUN_CHUNK,NOUN_CHUNK
119,key developments,affect,demand,NOUN_CHUNK,NOUN_CHUNK
120,new connectivity technologies,operate,variety,NOUN_CHUNK,NOUN_CHUNK
121,type,offers,chance,NOUN_CHUNK,NOUN_CHUNK
122,47 Providers,offer,basic packages,NOUN_CHUNK,NOUN_CHUNK
123,Exhibit,drive,massive online video traffic,NOUN_CHUNK,NOUN_CHUNK
124,Number,use,Bitrate,NOUN_CHUNK,NOUN_CHUNK
125,Network slicing,affect,cellular connected services efficiency,NOUN_CHUNK,NOUN_CHUNK
126,settings,adding,demand,NOUN_CHUNK,NOUN_CHUNK
127,technologies,require,connectivity,NOUN_CHUNK,NOUN_CHUNK
