,subject,relation,object,subject_type,object_type
0,Institute,ranked,the McKinsey Global Institute,NOUN_CHUNK,ORG
1,Current research,focuses.on,themes,NOUN_CHUNK,NOUN_CHUNK
2,technology,was,jobs,NOUN_CHUNK,NOUN_CHUNK
3,Saurabh Sanghvi,headed,research team,PERSON,NOUN_CHUNK
4,research team,comprised,Julian Albert,NOUN_CHUNK,PERSON
5,Jobs,gained,Scenarios,NOUN_CHUNK,NOUN_CHUNK
6,displaced workers,find,new work,NOUN_CHUNK,NOUN_CHUNK
7,wages,face,downward pressure,NOUN_CHUNK,NOUN_CHUNK
8,Automation,bring,big shifts,NOUN_CHUNK,NOUN_CHUNK
9,scenarios,highlight,challenges,NOUN_CHUNK,NOUN_CHUNK
10,job,find,new employment,NOUN_CHUNK,NOUN_CHUNK
11,jobs,sparked,public concern,NOUN_CHUNK,NOUN_CHUNK
12,January 2017 report,existed,automation,NOUN_CHUNK,NOUN_CHUNK
13,History,shows,numerous examples,NOUN_CHUNK,NOUN_CHUNK
14,analysis,covers,employees,NOUN_CHUNK,NOUN_CHUNK
15,Automation,DISPLACE,SIGNIFICANT SHARE,NOUN_CHUNK,NOUN_CHUNK
16,record,highlights,lessons,NOUN_CHUNK,NOUN_CHUNK
17,technology,reduced,the average hours worked.,NOUN_CHUNK,TIME
18,growth,created,demand,NOUN_CHUNK,NOUN_CHUNK
19,technologies,spurred,creation,NOUN_CHUNK,NOUN_CHUNK
20,computer,enabled,creation,NOUN_CHUNK,NOUN_CHUNK
21,productivity growth,threaten,employment,NOUN_CHUNK,NOUN_CHUNK
22,technological advances,be,workforce,NOUN_CHUNK,NOUN_CHUNK
23,1996).Technology,Agriculture,jobs,CARDINAL,NOUN_CHUNK
24,total jobs,Example,thousand,NOUN_CHUNK,CARDINAL
25,"3,508 jobs",destroyed,United States,NOUN_CHUNK,NOUN_CHUNK
26,workers,decline,new tasks,NOUN_CHUNK,NOUN_CHUNK
27,CATALYSTS,CREATE,MILLIONS,NOUN_CHUNK,CARDINAL
28,McKinsey Global Institute,shift,services,ORG,NOUN_CHUNK
29,Rising incomes,create,demand,NOUN_CHUNK,NOUN_CHUNK
30,factors,create,new demand,NOUN_CHUNK,NOUN_CHUNK
31,Investments,create,new demand,NOUN_CHUNK,NOUN_CHUNK
32,investments,create,million new jobs,NOUN_CHUNK,NOUN_CHUNK
33,labor force participation,accelerate,trend,NOUN_CHUNK,NOUN_CHUNK
34,childcare,fuel,development,NOUN_CHUNK,NOUN_CHUNK
35,technology,reshaping,resources,NOUN_CHUNK,NOUN_CHUNK
