,subject,relation,object,subject_type,object_type
0,Global Institute’s,covered,20 countries,ORG,NOUN_CHUNK
1,Recent reports,assessed,digital economy,NOUN_CHUNK,NOUN_CHUNK
2,leading.economists,advise,MGI research,NOUN_CHUNK,NOUN_CHUNK
3,Jean‑Jacques Rousseau,used,term,PERSON,NOUN_CHUNK
4,Previous publications,include,2016 reports,NOUN_CHUNK,NOUN_CHUNK
5,MGI directors,provided,input,NOUN_CHUNK,NOUN_CHUNK
6,research,benefited,social contract,NOUN_CHUNK,NOUN_CHUNK
7,Previous McKinsey Global Institute reports,include,Urban world,NOUN_CHUNK,ORG
8,Lauren Meling,ensured,digital social media.diffusion,PERSON,NOUN_CHUNK
9,findings,include,workers,NOUN_CHUNK,NOUN_CHUNK
10,Young people,spend,secure employment,NOUN_CHUNK,NOUN_CHUNK
11,20,increase,broad prosperity,CARDINAL,NOUN_CHUNK
12,Large increases,absorbed,income gains,NOUN_CHUNK,NOUN_CHUNK
13,Institutions,shifted,responsibility,NOUN_CHUNK,NOUN_CHUNK
14,changes,point,social contract,NOUN_CHUNK,NOUN_CHUNK
15,research,covers,Australia,NOUN_CHUNK,GPE
16,time work,experienced,fastest growth,NOUN_CHUNK,NOUN_CHUNK
17,Women,entered,workforce,NOUN_CHUNK,NOUN_CHUNK
18,social contract,preoccupied,philosophers,NOUN_CHUNK,NOUN_CHUNK
19,focus,building,wealth,NOUN_CHUNK,NOUN_CHUNK
20,data,limited,analysis,NOUN_CHUNK,NOUN_CHUNK
21,power,add,$12 trillion,NOUN_CHUNK,MONEY
22,Snower,Exploring,new social contract,ORG,NOUN_CHUNK
23,institutions,achieve,aspects,NOUN_CHUNK,NOUN_CHUNK
24, Education,paid,holidays,ORG,NOUN_CHUNK
25,workers,commit,workers,NOUN_CHUNK,NOUN_CHUNK
26,Workers,seeing,improvements,NOUN_CHUNK,NOUN_CHUNK
27,time,includes,both voluntary (3.2 percentage points,NOUN_CHUNK,PERCENT
28,time          time                  Breakdown,available,Highest employment rate,NOUN_CHUNK,NOUN_CHUNK
29,2000,indicating,unequal wage growth,DATE,NOUN_CHUNK
30,economies,faced,flat declining real market incomes,NOUN_CHUNK,NOUN_CHUNK
31,trends,benefited,individuals,NOUN_CHUNK,NOUN_CHUNK
32,digital platforms,created,opportunities,NOUN_CHUNK,NOUN_CHUNK
