,subject,relation,object,subject_type,object_type
0,Current research,focuses.on,themes,NOUN_CHUNK,NOUN_CHUNK
1,project team,included,Colin Britton,NOUN_CHUNK,PERSON
2,trade,connect,world economy,NOUN_CHUNK,NOUN_CHUNK
3,We.also,thank,colleagues,NOUN_CHUNK,NOUN_CHUNK
4,trade tensions,dominate,headlines,NOUN_CHUNK,NOUN_CHUNK
5,technologies,dampen,goods,NOUN_CHUNK,NOUN_CHUNK
6,smaller share,grow,complex unknowns,NOUN_CHUNK,NOUN_CHUNK
7,companies,localizing,supply chains,NOUN_CHUNK,NOUN_CHUNK
8,channels,increase,share,NOUN_CHUNK,NOUN_CHUNK
9,Regional integration,offers,possible solution,NOUN_CHUNK,NOUN_CHUNK
10,digital technologies,hold,possibilities,ORG,NOUN_CHUNK
11,forces,explain,changes,NOUN_CHUNK,NOUN_CHUNK
12,96%,REVEAL,5 STRUCTURAL SHIFTS,PERCENT,NOUN_CHUNK
13,in.,Assess,costs,NOUN_CHUNK,NOUN_CHUNK
14,customers,Build,closer digital supplier,NOUN_CHUNK,NOUN_CHUNK
15,generation,have,"complex,.multidimensional effects",NOUN_CHUNK,NOUN_CHUNK
16,trade,connect,world,NOUN_CHUNK,NOUN_CHUNK
17,Global value chains,reflect,millions,NOUN_CHUNK,CARDINAL
18,simplest value chains,involve,sequence,NOUN_CHUNK,NOUN_CHUNK
19,aircraft,involve,hundreds,NOUN_CHUNK,CARDINAL
20,machinery,given,rise,NOUN_CHUNK,NOUN_CHUNK
21,35 percent,involve,sequential steps,PERCENT,NOUN_CHUNK
22,Spending,averages,30 percent,NOUN_CHUNK,PERCENT
23,Industries,include,fabricated metals,NOUN_CHUNK,NOUN_CHUNK
24,value,chainsuse,relatively intermediate goods,NOUN_CHUNK,NOUN_CHUNK
25,value chains,generate,$20 trillion,NOUN_CHUNK,MONEY
26,19 countries,make,lower share,NOUN_CHUNK,NOUN_CHUNK
27,agriculture,other,870 million people,NOUN_CHUNK,NOUN_CHUNK
28,Resource intensive value chains,contribute,11 percent,NOUN_CHUNK,PERCENT
29,rising trade,reflects,global expansion,NOUN_CHUNK,NOUN_CHUNK
30,two-thirds,two-thirds,seven times people,CARDINAL,NOUN_CHUNK
31,high value industries,include,professional,NOUN_CHUNK,NOUN_CHUNK
32,knowledge intensive services,have,bachelor degrees,NOUN_CHUNK,NOUN_CHUNK
33,value chains,have,lower trade,NOUN_CHUNK,NOUN_CHUNK
34,high concentration,reflects,significant,NOUN_CHUNK,NOUN_CHUNK
35,GLOBAL VALUE CHAINS,UNDERGOING,STRUCTURAL SHIFTS,NOUN_CHUNK,NOUN_CHUNK
36,trend,reflects,development,NOUN_CHUNK,NOUN_CHUNK
37,Services,play,growing undervalued role,NOUN_CHUNK,NOUN_CHUNK
38,gross trade,totaled,$5.1 trillion,NOUN_CHUNK,MONEY
39,manufacturers,introduce,new types,NOUN_CHUNK,NOUN_CHUNK
40,service models,replace,time purchases,NOUN_CHUNK,NOUN_CHUNK
41,property,represent,tremendous value,NOUN_CHUNK,NOUN_CHUNK
42,trade statistics,capture,use,NOUN_CHUNK,NOUN_CHUNK
43,trade statistics,track,soaring cross - border flows,NOUN_CHUNK,NOUN_CHUNK
44,people,use,Facebook,NOUN_CHUNK,ORG
45,services    Professional services,create,value,NOUN_CHUNK,NOUN_CHUNK
46,perspective,shift,trade balance,NOUN_CHUNK,NOUN_CHUNK
47,Intangibles,playing,bigger role,NOUN_CHUNK,NOUN_CHUNK
48,growing emphasis,favors,countries,NOUN_CHUNK,NOUN_CHUNK
49,offshoring,part,price,NOUN_CHUNK,NOUN_CHUNK
50,creation,takes,place,NOUN_CHUNK,NOUN_CHUNK
51,innovations                              ,intensive,processing,ORG,NOUN_CHUNK
52,Intangibles,include,brands,NOUN_CHUNK,NOUN_CHUNK
53,automation,accelerate,importance,NOUN_CHUNK,NOUN_CHUNK
54,Volvo,canceled,plans,ORG,NOUN_CHUNK
55,Sportswear,designs,products,NOUN_CHUNK,NOUN_CHUNK
56,blown trade war,have,cumulative,NOUN_CHUNK,NOUN_CHUNK
57,companies,shift,companies,NOUN_CHUNK,NOUN_CHUNK
58,one-quarter,were,specific companies,CARDINAL,NOUN_CHUNK
59,firms,produce,87 percent,NOUN_CHUNK,PERCENT
60,data,boosted,world GDP,NOUN_CHUNK,NOUN_CHUNK
61,Higher tariffs,affect,firms,NOUN_CHUNK,NOUN_CHUNK
62,Volvo,Keith Naughton,production plans,ORG,NOUN_CHUNK
63,winter coat heavyweight,summary,cold shoulder,NOUN_CHUNK,NOUN_CHUNK
64,Previous MGI research,highlighted,China working age population,NOUN_CHUNK,NOUN_CHUNK
65,rising middle class,flexing,new spending power,NOUN_CHUNK,NOUN_CHUNK
66,the Philippines,leading,way,GPE,NOUN_CHUNK
67,India,exported,35 percent,GPE,PERCENT
68,consumers,stepped,purchases,NOUN_CHUNK,NOUN_CHUNK
69,Growing demand,offers,opportunity,NOUN_CHUNK,NOUN_CHUNK
70,industry,send,42 percent,NOUN_CHUNK,PERCENT
71,ECONOMIES,DECREASED,GLOBAL TRADE INTENSITY,NOUN_CHUNK,NOUN_CHUNK
72,value,bring,jobs,NOUN_CHUNK,NOUN_CHUNK
73,decline,reflects,growing industrial maturity,NOUN_CHUNK,NOUN_CHUNK
74,wave,dampen,global goods trade,NOUN_CHUNK,NOUN_CHUNK
75,cross - border B2C e - commerce sales,projects,approximately $1 trillion,NOUN_CHUNK,MONEY
76,Continued rapid growth,present,a.                      challenge,NOUN_CHUNK,NOUN_CHUNK
77,Automated document processing,speed,goods,NOUN_CHUNK,NOUN_CHUNK
78,Blockchain shipping solutions,reduce,transit times,NOUN_CHUNK,NOUN_CHUNK
79,digital technologies,transforming,global commerce,NOUN_CHUNK,NOUN_CHUNK
80,E7.New technologies,have,varying impacts,NOUN_CHUNK,NOUN_CHUNK
81,processing,reduces,time,NOUN_CHUNK,NOUN_CHUNK
82,.                                     Internet,track,shipments,ORG,NOUN_CHUNK
83,Autonomous              Autonomous vehicles,move,cargo,NOUN_CHUNK,NOUN_CHUNK
84,Australian company,utilizes,Google,NOUN_CHUNK,ORG
85,company,equips,new UK factory,NOUN_CHUNK,NOUN_CHUNK
86,Bangladesh,automates,textiles,GPE,NOUN_CHUNK
87,Artificial    Virtual                       British retailer,deploys,virtual assistants,NOUN_CHUNK,NOUN_CHUNK
88,Philippine company,employs,RPA,NOUN_CHUNK,NOUN_CHUNK
89,China,increases,electricity generation,GPE,NOUN_CHUNK
90,European consumers,buy,EVs,NOUN_CHUNK,NOUN_CHUNK
91,robotics,makes,proximity,NOUN_CHUNK,NOUN_CHUNK
92,Companies,reconsidering,location decisions,NOUN_CHUNK,NOUN_CHUNK
93,customer support services,offshoring,Companies,NOUN_CHUNK,NOUN_CHUNK
94,Additive manufacturing,influence,future trade flows,NOUN_CHUNK,NOUN_CHUNK
95,3-D printing,reduce,trade,NOUN_CHUNK,NOUN_CHUNK
96,New goods,impact,trade flows,NOUN_CHUNK,NOUN_CHUNK
97,electric vehicles,make,some 17 percent,NOUN_CHUNK,PERCENT
98,Spotify,popularize,streaming subscription models,ORG,NOUN_CHUNK
99,3D,printing,threat,PRODUCT,NOUN_CHUNK
100,Automation,reduces,value,NOUN_CHUNK,NOUN_CHUNK
101,Companies,efficiencies,end,ORG,NOUN_CHUNK
102,potential supplier networks,integration,potential,NOUN_CHUNK,NOUN_CHUNK
103,consumer goods,take,hyperlocal approach,NOUN_CHUNK,NOUN_CHUNK
104,value,coming,design,NOUN_CHUNK,NOUN_CHUNK
105,services,offer,advantages,NOUN_CHUNK,NOUN_CHUNK
106,companies,consider,costs,NOUN_CHUNK,NOUN_CHUNK
107,companies,face,complex set,NOUN_CHUNK,NOUN_CHUNK
108,,Prioritize,speed,NOUN_CHUNK,NOUN_CHUNK
109,,Build,closer supplier relationships,NOUN_CHUNK,NOUN_CHUNK
110,value chains,led,companies,NOUN_CHUNK,NOUN_CHUNK
111,approach,involved,hidden risks,NOUN_CHUNK,NOUN_CHUNK
112,Large firms,bring,systemic changes,NOUN_CHUNK,NOUN_CHUNK
113,countries,archetype,largest trade surplus,NOUN_CHUNK,NOUN_CHUNK
114,country specialization,determines,country exposure,NOUN_CHUNK,NOUN_CHUNK
115,Shifts,favor,advanced economies,NOUN_CHUNK,NOUN_CHUNK
116,comparative advantages,offer,interesting model,NOUN_CHUNK,NOUN_CHUNK
117,Resource producers,diversify,Resource producers,NOUN_CHUNK,NOUN_CHUNK
