,subject,relation,object,subject_type,object_type
96,group,includes,the Philippines,NOUN_CHUNK,GPE
98,group,includes,Colombia,NOUN_CHUNK,GPE
100,group,includes,Germany,NOUN_CHUNK,GPE
102,Examples,include,Argentina,NOUN_CHUNK,GPE
161,rising temperatures,impact,India,NOUN_CHUNK,GPE
187,India,has,potential,GPE,NOUN_CHUNK
205,Hurricane Harvey,Texas,Houston,EVENT,GPE
254,China,see,expected yields,GPE,NOUN_CHUNK
262,group,includes,the Philippines,NOUN_CHUNK,GPE
263,group,includes,Colombia,NOUN_CHUNK,GPE
264,group,includes,Egypt,NOUN_CHUNK,GPE
267,group,includes,Germany,NOUN_CHUNK,GPE
268,Examples,include,Argentina,NOUN_CHUNK,GPE
274,Bangladesh,have,relatively low GDP levels,GPE,NOUN_CHUNK
282,Quebec,prohibited,building,GPE,NOUN_CHUNK
284,Canada,tries,forceful message,GPE,NOUN_CHUNK
66,the Philippines,leading,way,GPE,NOUN_CHUNK
67,India,exported,35 percent,GPE,PERCENT
86,Bangladesh,automates,textiles,GPE,NOUN_CHUNK
89,China,increases,electricity generation,GPE,NOUN_CHUNK
128,Mexico,plays,type,GPE,NOUN_CHUNK
130,trend,lead,China,NOUN_CHUNK,GPE
131,the Philippines,have,opportunities,GPE,NOUN_CHUNK
179,the United States,increased,share,GPE,NOUN_CHUNK
210,Europe,includes,Austria,LOC,GPE
218,London,Capturing,value,GPE,NOUN_CHUNK
223,the United States,generates,almost one-third,GPE,CARDINAL
258,China,given,rise,GPE,NOUN_CHUNK
259,Previous MGI research,highlighted,China,NOUN_CHUNK,GPE
260,China consumers,turned,China,NOUN_CHUNK,GPE
262,India,exported,35 percent,GPE,PERCENT
266,China,easing,foreign investment restrictions,GPE,NOUN_CHUNK
269,China China,financing,infrastructure construction projects,GPE,NOUN_CHUNK
271,China,BUILDING,DOMESTIC,GPE,NOUN_CHUNK
276,China,retain,types,GPE,NOUN_CHUNK
278,Hefei,has,existing base,GPE,NOUN_CHUNK
301,Bangladesh,automates,textiles,GPE,NOUN_CHUNK
304,China,increases,electricity generation,GPE,NOUN_CHUNK
309,The United States,announced,United States withdrawal,GPE,NOUN_CHUNK
325,Morocco,serve,European,GPE,NORP
328,China,pursuing,automation,GPE,NOUN_CHUNK
459,South Korea,seen,South Korea Japan exports,GPE,NOUN_CHUNK
474,United States,play,role,GPE,NOUN_CHUNK
39,occupational categories,States,many Japan China Mexico India,NOUN_CHUNK,GPE
45,Japan,faces,combination,GPE,NOUN_CHUNK
46,the United States,face,significant workforce,GPE,NOUN_CHUNK
47,the United States,displacement,future growth,GPE,NOUN_CHUNK
48,the United States,has,growing workforce,GPE,NOUN_CHUNK
49,Mexico,projected,rate,GPE,NOUN_CHUNK
90,China,has,fewer robots,GPE,NOUN_CHUNK
97,Britain,smashed,automated looms,GPE,NOUN_CHUNK
194,Occupational categories,States,many Japan China Mexico India,NOUN_CHUNK,GPE
