,subject,relation,object,subject_type,object_type
2,MGI,have,MGI senior fellow,ORG,NOUN_CHUNK
5,McKinsey,developed,McKinsey global greenhouse gas abatement cost curve,ORG,NOUN_CHUNK
7,Birshan,provided,critical input,ORG,NOUN_CHUNK
8,Woods Hole Research Center,produced,scientific,ORG,NOUN_CHUNK
9,the University of Oxford’s Environmental Change Institute,ensure,impartiality,ORG,NOUN_CHUNK
12,Organizations,include,AECOM,NOUN_CHUNK,ORG
22,McKinsey,has,long history,ORG,NOUN_CHUNK
84,Intensifying climate.hazards,put,millions,ORG,CARDINAL
126,Each RCP,predicts,global average.warming,ORG,NOUN_CHUNK
136,the US Department of Defense,identified,climate change,ORG,NOUN_CHUNK
222,biosphere.currently,absorbs,approximately 30 percent,ORG,PERCENT
228,IHS Markit Economics and Country,changing.in,systems framework,ORG,NOUN_CHUNK
234,UNEP,identified,adaptation costs,ORG,NOUN_CHUNK
235,the GCA,calculated,necessary adaptation investments,ORG,NOUN_CHUNK
236,the GCA,identified,categories,ORG,NOUN_CHUNK
289,The World Climate Research Programme,brought,      climate models,ORG,NOUN_CHUNK
293,Each RCP,predicts,global average,ORG,NOUN_CHUNK
325,Estimated work       model multi-member ensembles to.ability,assess,climate change impacts,ORG,NOUN_CHUNK
327,Lascell,yield,potential yield gap,ORG,NOUN_CHUNK
10,digital technologies,hold,possibilities,ORG,NOUN_CHUNK
44,people,use,Facebook,NOUN_CHUNK,ORG
51,innovations                              ,intensive,processing,ORG,NOUN_CHUNK
54,Volvo,canceled,plans,ORG,NOUN_CHUNK
62,Volvo,Keith Naughton,production plans,ORG,NOUN_CHUNK
82,.                                     Internet,track,shipments,ORG,NOUN_CHUNK
84,Australian company,utilizes,Google,NOUN_CHUNK,ORG
98,Spotify,popularize,streaming subscription models,ORG,NOUN_CHUNK
101,Companies,efficiencies,end,ORG,NOUN_CHUNK
141,A.                                  farmer,cultivates,bananas,ORG,NOUN_CHUNK
143,A.                                  farmer,use,imported fertilizers,ORG,NOUN_CHUNK
182,innovations                              ,intensive,processing,ORG,NOUN_CHUNK
186,WTO,assumed,prominent role,ORG,NOUN_CHUNK
191,Nearshoring,establishing,demand focused apparel value,ORG,NOUN_CHUNK
208,the UN Statistical Commission,revised,the System of National Accounts,ORG,ORG
215,the Starbucks,have,look,ORG,NOUN_CHUNK
231,digital services,attract,hundreds of millions,ORG,CARDINAL
